state,city,zip,Y,X,compid,id
IL,Princeton,61356,41.371332,-89.463511,2,493
IN,Greenwood,46134,39.61361,-86.10667,2,494
IL,Hampshire,60140,42.11652,-88.50222,2,495
WI,East Troy,53120,42.803402,-88.415506,2,496
IN,Lake Station,46405,41.56853,-87.270213,2,497
MO,St Robert,65584,37.828919,-92.200348,2,498
NC,Mount Airy,27030,36.490645,-80.628907,2,499
ND,Minot,58701,48.230821,-101.294119,2,500
TX,Cisco,76437,32.387328,-98.981735,2,501
OH,Lebanon,45036,39.446127,-84.210158,2,502
TX,Ft. Stockton,79735,30.887216,-102.881646,2,503
TX,George West,78022,28.328968,-98.118165,2,504
PA,Milton,17847,41.014839,-76.846934,2,505
OK,Choctaw,73020,35.461457,-97.263145,2,506
NM,Hobbs,88240,32.725126,-103.140536,2,507
TX,Big Spring,79720,32.51461,-101.57574,2,508
TX,Von Ormy,78073,29.254866,-98.613495,2,509
MO,Charleston,63834,36.92226,-89.29548,2,510
IA,Williams,50271,42.488487,-93.542349,2,511
TX,Hempstead,77445,30.07212,-96.08124,2,512
GA,St. Mary's,31558,30.754348,-81.561603,2,513
MN,Northfield,55057,44.445033,-93.181524,2,514
IL,Marshall,62441,39.4002,-87.69468,2,515
TX,Odessa,79766,31.812902,-102.338633,2,516
MN,Inver Groves,55007,45.946447,-92.864586,2,517
WA,Ferndale,98248,48.8583,-122.606024,2,518
OR,Auora,97002,45.232302,-122.807794,2,519
